FC gene
-0.955953379394465 AFMID
-0.573015410095326 AFP
0.406480641507451 AFTPH
1.34126561388192 AGA
0.00566285313690419 AGAP1
1.60487740167148 AGAP11
0.306377230984233 AGAP12P
0.520306010717305 AGAP13P
3.04306590561678 AGAP14P
1.48750901174496 AGAP2
-0.415936438808595 AGAP3
-0.206867634279863 AGAP4
0.456927010888889 AGAP5
0.195056236482288 AGAP6
-1.60067283379336 AGAP7P
0.32831858448756 AGAP9
-0.106834843050277 AGBL1
0.992521687910059 AGBL2
0.670539770685043 AGBL3
0.854936037922914 AGBL4
0.0942920079708499 AGBL5
0.954521180420321 AGER
-0.412969894998077 AGFG1
0.405960673568492 AGFG2
0.301720902818245 AGGF1
2.75751002016297 AGGF1P1
1.12360231771897 AGGF1P2
6.44281310186308 AGK
-0.247307504644634 AGL
3.57819214351033 AGMO
-0.492926739863455 AGO1
-0.312281962823922 AGO2
0.343407285105966 AGO3
0.636618631871152 AGO4
0.0933245229868854 AGPAT1
0.106339568883129 AGPAT2
-0.00116977972924537 AGPAT3
0.193112126154215 AGPAT4
-0.575622126863195 AGPAT5
-0.255004145429166 AGPS
-0.654315212845003 AGRN
-1.06861731371957 AGRP
3.49396251290168 AGT
-0.193199126429583 AGTPBP1
-0.0273368089737591 AGTRAP
-0.36765376442746 AHCTF1
-0.155278378326414 AHCTF1P1
-0.307222587068363 AHCY
0.325786451658751 AHCYL1
0.509169522378628 AHCYL2
0.854936037922915 AHCYP4
2.72347679705235 AHCYP8
-0.567863451440961 AHDC1
-0.000816709450391723 AHI1
0.413125698950799 AHNAK
2.37469509417308 AHNAK2
1.9226970928654 AHRR
-0.935615328622998 AHSA1
0.336484785193789 AHSA2P
-2.55185119542132 AHSP
0.657617833001954 AIDA
-2.04749955024779 AIDAP2
1.39472347171421 AIF1
1.61321487194499 AIF1L
0.314265270203929 AIFM1
-0.156767524236831 AIFM2
0.168148025348585 AIFM3
-0.0769149265332008 AIG1
4.30835314879232 AIM2
-0.289981695696884 AIMP1
